epoch,loss
1,2.946855629157556
2,2.8943910476935173
3,2.868583521413687
4,2.8540491616928954
5,2.8483515690713035
6,2.8489629636425753
7,2.854447143791366
8,2.8604688151329394
9,2.8668366168827326
10,2.8721484766679377
11,2.876603959540671
12,2.8809879214804246
13,2.8844579814994424
14,2.8859453647966222
15,2.8865029173755876
16,2.8871638786473706
17,2.8872017042480245
18,2.8871991547354816
19,2.887231033793911
20,2.8865532875061035
21,2.8868550674178595
22,2.8863140359122097
23,2.8861442853644528
24,2.8860017446995943
25,2.885752858326673
26,2.8856043200713293
27,2.885677847548993
28,2.8854759516797217
29,2.8853017100452507
30,2.8852527495428304
31,2.885335100828296
32,2.885257658297128
33,2.885197551291064
34,2.8851418715613892
35,2.8851060890513325
36,2.8850434104891587
37,2.8851507469975455
38,2.8850149661665125
39,2.8850939633492425
40,2.8850249107156647
41,2.885000328657981
42,2.884985345413505
43,2.885067471042457
44,2.8850437655066052
45,2.8848542697238226
46,2.8849159191994773
47,2.8849578008164456
48,2.8849671728129516
49,2.8850224105111004
50,2.885034675435718
51,2.884928327987374
52,2.8849461583325464
53,2.884938921081469
54,2.8849407408359276
55,2.8849005298892947
56,2.8848817638527158
57,2.884936057738144
58,2.8848676165235014
59,2.884861442004387
60,2.884736079659195
61,2.8848946425166444
62,2.884875373538683
63,2.884822689993828
64,2.8847926353306086
65,2.884865794448667
66,2.884750389994786
67,2.8848424166658497
68,2.884846850323271
69,2.884819968193407
70,2.8847608015195005
71,2.8848592161842217
72,2.884912601062561
73,2.884719103792288
74,2.884824559056266
75,2.8848895678555007
76,2.8847802938336002
77,2.884902578200737
78,2.8847358911286887
79,2.8847622958413006
80,2.884796433785246
